Maker, Genmodel, Genmodel_ID,Adv_ID,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_mpg,Top_speed,Seat_num,Door_num,is_flagged,Vehicle_age,Usage_intensity,Usage_intensity_norm,Usage_intensity_norm_inv
Bentley,Arnage,10_1,10_1$$2,2018,6,Grey,2002.0,Saloon,44000.0,6.8,Automatic,Petrol,28750.0,450.0, 315,3116.0,1515.0,2125.0,5390.0,13.7,179.0,5.0,4.0,False,16.0,2750.0,0.00475,0.99525
Bentley,Arnage,10_1,10_1$$3,2017,11,Blue,2002.0,Saloon,55000.0,6.8,Automatic,Petrol,29999.0,400.0, 315,3116.0,1515.0,2125.0,5390.0,14.7,155.0,5.0,4.0,False,15.0,3666.66667,0.00634,0.99366
Bentley,Arnage,10_1,10_1$$6,2017,12,Blue,2002.0,Saloon,55000.0,6.8,Automatic,Petrol,24950.0,450.0, 315,3116.0,1515.0,2125.0,5390.0,13.7,179.0,5.0,4.0,False,15.0,3666.66667,0.00634,0.99366
Bentley,Arnage,10_1,10_1$$12,2018,6,Silver,2002.0,Saloon,52000.0,6.8,Automatic,Petrol,26990.0,450.0, 315,3116.0,1515.0,2125.0,5390.0,13.7,179.0,5.0,4.0,False,16.0,3250.0,0.00562,0.99438
Bentley,Arnage,10_1,10_1$$14,2018,7,Blue,2002.0,Saloon,58000.0,6.8,Automatic,Petrol,25950.0,450.0, 315,3116.0,1515.0,2125.0,5390.0,13.7,179.0,5.0,4.0,False,16.0,3625.0,0.00627,0.99373
Bentley,Bentayga,10_3,10_3$$7,2018,8,Grey,2017.0,SUV,10972.0,6.0,Automatic,Petrol,139950.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,1.0,10972.0,0.01897,0.98103
Bentley,Bentayga,10_3,10_3$$8,2018,8,Grey,2018.0,SUV,5963.0,4.0,Automatic,Petrol,146995.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,11926.0,0.02062,0.97938
Bentley,Bentayga,10_3,10_3$$9,2018,8,Grey,2018.0,SUV,1000.0,4.0,Automatic,Diesel,159500.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,2000.0,0.00346,0.99654
Bentley,Bentayga,10_3,10_3$$10,2018,6,Blue,2016.0,SUV,16526.0,6.0,Automatic,Petrol,127895.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,8263.0,0.01428,0.98572
Bentley,Bentayga,10_3,10_3$$11,2018,7,White,2016.0,SUV,16200.0,6.0,Automatic,Petrol,125995.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,8100.0,0.014,0.986
Bentley,Bentayga,10_3,10_3$$12,2018,6,Grey,2016.0,SUV,6000.0,6.0,Automatic,Petrol,145000.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,3000.0,0.00519,0.99481
Bentley,Bentayga,10_3,10_3$$13,2018,7,Black,2017.0,SUV,15000.0,4.0,Automatic,Diesel,124950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,15000.0,0.02593,0.97407
Bentley,Bentayga,10_3,10_3$$14,2018,6,Blue,2016.0,SUV,5900.0,6.0,Automatic,Petrol,139900.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,2950.0,0.0051,0.9949
Bentley,Bentayga,10_3,10_3$$15,2018,8,Green,2018.0,SUV,9000.0,4.0,Automatic,Diesel,149995.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,18000.0,0.03112,0.96888
Bentley,Bentayga,10_3,10_3$$16,2018,8,Black,2017.0,SUV,3000.0,4.0,Automatic,Diesel,154995.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,3000.0,0.00519,0.99481
Bentley,Bentayga,10_3,10_3$$17,2018,2,Grey,2017.0,SUV,5185.0,6.0,Automatic,Petrol,147950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,4.0,5.0,True,1.0,5185.0,0.00896,0.99104
Bentley,Bentayga,10_3,10_3$$18,2018,8,White,2018.0,SUV,2810.0,4.0,Automatic,Diesel,137950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,5620.0,0.00971,0.99029
Bentley,Bentayga,10_3,10_3$$19,2018,7,Black,2018.0,SUV,20.0,4.0,Automatic,Diesel,194995.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,40.0,7e-05,0.99993
Bentley,Bentayga,10_3,10_3$$27,2018,8,Blue,2018.0,SUV,4944.0,4.0,Automatic,Petrol,97500.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,9888.0,0.01709,0.98291
Bentley,Bentayga,10_3,10_3$$29,2018,7,Black,2018.0,SUV,1496.0,6.0,Automatic,Petrol,184950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,21.6,187.0,5.0,5.0,True,0.0,2992.0,0.00517,0.99483
Bentley,Bentayga,10_3,10_3$$30,2018,8,Orange,2018.0,SUV,700.0,6.0,Automatic,Petrol,174950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,0.0,1400.0,0.00242,0.99758
Bentley,Bentayga,10_3,10_3$$31,2018,7,Grey,2017.0,SUV,12348.0,4.0,Automatic,Diesel,134950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,12348.0,0.02135,0.97865
Bentley,Bentayga,10_3,10_3$$35,2017,10,Grey,2017.0,SUV,8147.0,6.0,Automatic,Petrol,143950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,0.0,16294.0,0.02817,0.97183
Bentley,Bentayga,10_3,10_3$$38,2018,7,Blue,2018.0,SUV,2000.0,4.0,Automatic,Petrol,139850.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,4000.0,0.00691,0.99309
Bentley,Bentayga,10_3,10_3$$45,2018,8,White,2017.0,SUV,7982.0,4.0,Automatic,Diesel,129950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,7982.0,0.0138,0.9862
Bentley,Bentayga,10_3,10_3$$47,2018,8,Green,2016.0,SUV,4323.0,6.0,Automatic,Petrol,124950.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,2161.5,0.00374,0.99626
Bentley,Bentayga,10_3,10_3$$48,2018,7,Grey,2018.0,SUV,6500.0,4.0,Automatic,Petrol,149950.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,13000.0,0.02247,0.97753
Bentley,Bentayga,10_3,10_3$$50,2018,5,Black,2017.0,SUV,5576.0,4.0,Automatic,Diesel,142000.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,5576.0,0.00964,0.99036
Bentley,Bentayga,10_3,10_3$$51,2018,5,White,2017.0,SUV,12042.0,4.0,Automatic,Diesel,132000.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,12042.0,0.02082,0.97918
Bentley,Bentayga,10_3,10_3$$54,2018,6,Grey,2017.0,SUV,12055.0,6.0,Automatic,Petrol,144850.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,1.0,12055.0,0.02084,0.97916
Bentley,Bentayga,10_3,10_3$$55,2018,7,White,2017.0,SUV,16392.0,4.0,Automatic,Diesel,126950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,16392.0,0.02834,0.97166
Bentley,Bentayga,10_3,10_3$$57,2018,6,Blue,2018.0,SUV,1059.0,4.0,Automatic,Petrol,148950.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,2118.0,0.00366,0.99634
Bentley,Bentayga,10_3,10_3$$58,2018,7,Grey,2018.0,SUV,1750.0,4.0,Automatic,Diesel,154990.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,3500.0,0.00605,0.99395
Bentley,Bentayga,10_3,10_3$$60,2018,8,Black,2017.0,SUV,6195.0,4.0,Automatic,Diesel,137950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,6195.0,0.01071,0.98929
Bentley,Bentayga,10_3,10_3$$62,2018,8,Red,2016.0,SUV,4120.0,6.0,Automatic,Petrol,127990.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,2060.0,0.00356,0.99644
Bentley,Bentayga,10_3,10_3$$66,2018,8,Blue,2017.0,SUV,2917.0,4.0,Automatic,Diesel,135950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,2917.0,0.00504,0.99496
Bentley,Bentayga,10_3,10_3$$70,2018,7,Silver,2017.0,SUV,5501.0,4.0,Automatic,Diesel,137950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,5501.0,0.00951,0.99049
Bentley,Bentayga,10_3,10_3$$72,2018,8,Black,2016.0,SUV,7207.0,6.0,Automatic,Petrol,129500.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,3603.5,0.00623,0.99377
Bentley,Bentayga,10_3,10_3$$74,2018,7,Black,2017.0,SUV,4200.0,6.0,Automatic,Petrol,145000.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,1.0,4200.0,0.00726,0.99274
Bentley,Bentayga,10_3,10_3$$84,2018,8,Grey,2016.0,SUV,35000.0,6.0,Automatic,Petrol,122990.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,17500.0,0.03025,0.96975
Bentley,Bentayga,10_3,10_3$$86,2018,6,Blue,2017.0,SUV,12061.0,6.0,Automatic,Petrol,144950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,1.0,12061.0,0.02085,0.97915
Bentley,Bentayga,10_3,10_3$$87,2018,6,Black,2017.0,SUV,11847.0,4.0,Automatic,Diesel,138950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,11847.0,0.02048,0.97952
Bentley,Bentayga,10_3,10_3$$88,2018,2,Grey,2017.0,SUV,3000.0,4.0,Automatic,Diesel,149946.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,3000.0,0.00519,0.99481
Bentley,Bentayga,10_3,10_3$$89,2018,6,Grey,2018.0,SUV,1000.0,4.0,Automatic,Diesel,169950.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,0.0,2000.0,0.00346,0.99654
Bentley,Bentayga,10_3,10_3$$90,2018,1,Grey,2017.0,SUV,10122.0,6.0,Automatic,Petrol,159950.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,1.0,10122.0,0.0175,0.9825
Bentley,Bentayga,10_3,10_3$$91,2018,7,Grey,2018.0,SUV,8500.0,4.0,Automatic,Petrol,147000.0,542.0, 140*,2995.0,1742.0,2224.0,5140.0,24.8,180.0,5.0,5.0,True,0.0,17000.0,0.02939,0.97061
Bentley,Bentayga,10_3,10_3$$92,2018,8,Grey,2018.0,SUV,8690.0,6.0,Automatic,Petrol,143980.0,600.0, 140*,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,True,0.0,17380.0,0.03004,0.96996
Bentley,Bentayga,10_3,10_3$$95,2018,6,White,2017.0,SUV,14000.0,4.0,Automatic,Diesel,134995.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,14000.0,0.0242,0.9758
Bentley,Bentayga,10_3,10_3$$96,2018,7,Blue,2016.0,SUV,33145.0,6.0,Automatic,Petrol,118000.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,2.0,16572.5,0.02865,0.97135
Bentley,Bentayga,10_3,10_3$$98,2018,5,Grey,2017.0,SUV,987.0,4.0,Automatic,Diesel,139990.0,429.0, 140*,2995.0,1742.0,2224.0,5140.0,38.2,167.0,5.0,5.0,True,1.0,987.0,0.00171,0.99829
Bentley,Bentayga,10_3,10_3$$100,2018,8,Black,2017.0,SUV,12000.0,6.0,Automatic,Petrol,155000.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,5.0,5.0,False,1.0,12000.0,0.02074,0.97926
Bentley,Bentayga,10_3,10_3$$104,2018,8,Grey,2017.0,SUV,4545.0,6.0,Automatic,Petrol,139950.0,600.0, 555,2995.0,1742.0,2224.0,5140.0,22.1,187.0,7.0,5.0,False,1.0,4545.0,0.00786,0.99214
