genmodel_id,year,original_sales
100_1,2001.0,0
100_1,2002.0,0
100_1,2003.0,0
100_1,2004.0,0
100_1,2005.0,0
100_1,2006.0,1
100_1,2007.0,1
100_1,2008.0,0
100_1,2009.0,1
100_1,2010.0,0
100_1,2011.0,0
100_1,2012.0,0
100_1,2013.0,1
100_1,2014.0,0
100_1,2015.0,0
100_1,2016.0,0
100_1,2017.0,0
100_1,2018.0,0
100_1,2019.0,0
100_1,2020.0,0
101_1,2001.0,0
101_1,2002.0,0
101_1,2003.0,0
101_1,2004.0,0
101_1,2005.0,0
101_1,2006.0,0
101_1,2007.0,0
101_1,2008.0,0
101_1,2009.0,0
101_1,2010.0,0
101_1,2011.0,0
101_1,2012.0,0
101_1,2013.0,0
101_1,2014.0,0
101_1,2015.0,0
101_1,2016.0,0
101_1,2017.0,0
101_1,2018.0,108
101_1,2019.0,149
101_1,2020.0,102
10_1,2001.0,193
10_1,2002.0,134
10_1,2003.0,106
10_1,2004.0,90
10_1,2005.0,106
10_1,2006.0,73
10_1,2007.0,61
10_1,2008.0,40
10_1,2009.0,29
10_1,2010.0,5
10_1,2011.0,0
10_1,2012.0,1
10_1,2013.0,0
10_1,2014.0,0
10_1,2015.0,0
10_1,2016.0,0
10_1,2017.0,0
10_1,2018.0,0
10_1,2019.0,0
10_1,2020.0,0
10_2,2001.0,12
10_2,2002.0,8
10_2,2003.0,11
10_2,2004.0,0
10_2,2005.0,0
10_2,2006.0,21
10_2,2007.0,28
10_2,2008.0,14
10_2,2009.0,10
10_2,2010.0,5
10_2,2011.0,1
10_2,2012.0,0
10_2,2013.0,0
10_2,2014.0,0
10_2,2015.0,0
10_2,2016.0,0
10_2,2017.0,0
10_2,2018.0,0
10_2,2019.0,0
10_2,2020.0,0
10_3,2001.0,0
10_3,2002.0,0
10_3,2003.0,0
10_3,2004.0,0
10_3,2005.0,0
10_3,2006.0,0
10_3,2007.0,0
10_3,2008.0,0
10_3,2009.0,0
10_3,2010.0,0
10_3,2011.0,0
10_3,2012.0,0
10_3,2013.0,0
10_3,2014.0,0
10_3,2015.0,1
10_3,2016.0,342
10_3,2017.0,545
10_3,2018.0,526
10_3,2019.0,387
10_3,2020.0,436
10_4,2001.0,0
10_4,2002.0,0
10_4,2003.0,0
10_4,2004.0,0
10_4,2005.0,0
10_4,2006.0,0
10_4,2007.0,0
10_4,2008.0,28
10_4,2009.0,16
10_4,2010.0,3
10_4,2011.0,1
10_4,2012.0,0
10_4,2013.0,0
10_4,2014.0,0
10_4,2015.0,0
10_4,2016.0,0
10_4,2017.0,0
10_4,2018.0,0
10_4,2019.0,0
10_4,2020.0,0
10_5,2001.0,10
10_5,2002.0,11
10_5,2003.0,14
10_5,2004.0,1111
10_5,2005.0,1157
