Genmodel_ID,Maker,Genmodel,Trim,Year,Price,Gas_emission,Fuel_type,Engine_size,Power,Unit
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp 2d,2016,29365,148,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp Sequenziale Sportivo auto 2d,2016,31365,153,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp 2d,2017,29365,148,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp Sequenziale Sportivo auto 2d,2017,31365,153,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 SpiderScorpione 1.4 Turbo MultiAir 170hp 2d,2017,26665,148,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp 2d,2018,29365,148,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 Spider1.4 Turbo MultiAir 170hp Sequenziale Sportivo auto 2d,2018,31365,153,Petrol,1368,170.0,bhp
2_1,Abarth,124 spider,124 SpiderScorpione 1.4 Turbo MultiAir 170hp 2d,2018,26665,148,Petrol,1368,170.0,bhp
2_1,Abarth,124 Spider,1.4 Turbo MultiAir 170hp Sequenziale Sportivo auto 2d,2019,31515,153,Petrol,1368,170.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2012,15050,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2013,15275,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2014,15275,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2014,15360,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2014,15625,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2015,15625,134,Petrol,1368,140.0,bhp
2_2,Abarth,500,500 1.4 16V T-Jet (140bhp) 3d Auto,2016,15625,134,Petrol,1368,140.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2011,16636,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2012,16636,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2013,15775,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2014,15775,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2014,15825,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2014,16325,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2015,16325,139,Petrol,1368,135.0,bhp
2_3,Abarth,500c,500C 1.4 T-Jet (135bhp) 2d,2016,16325,139,Petrol,1368,135.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d,2014,16425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d Auto,2014,17725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d,2014,21705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d Auto,2014,23005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d,2014,14425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d Auto,2014,15725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d,2014,19705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d Auto,2014,21005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d,2015,16425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d Auto,2015,17725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d,2015,21705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d Auto,2015,23005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d,2015,14425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d Auto,2015,15725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) Trofeo 3d,2015,14965,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d,2015,19705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d Auto,2015,21005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d,2016,16425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d Auto,2016,17725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d,2016,21705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d Auto,2016,23005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp 2d,2016,16905,152,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp MTA auto 2d,2016,18255,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp 2d,2016,22105,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp MTA auto 2d,2016,23455,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleTrofeo 1.4 Tjet 160hp 2d,2016,19105,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp 2d,2016,20105,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp MTA auto 2d,2016,21455,151,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d,2016,14425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d Auto,2016,15725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) Trofeo 3d,2016,14965,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d,2016,19705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d Auto,2016,21005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp 3d,2016,14905,151,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp MTA auto 3d,2016,16255,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp 3d,2016,20105,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp MTA auto 3d,2016,21455,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackTrofeo 1.4 Tjet 160hp 3d,2016,17105,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp 3d,2016,18105,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp MTA auto 3d,2016,19455,149,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d,2017,16425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (140bhp) 2d Auto,2017,17725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d,2017,21705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 T-Jet (180bhp) Competizione 2d Auto,2017,23005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp 2d,2017,16905,152,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp 2d,2017,17255,152,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp MTA auto 2d,2017,18255,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp MTA auto 2d,2017,18605,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp 2d,2017,22105,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp 2d,2017,22455,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp MTA auto 2d,2017,23455,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp MTA auto 2d,2017,23805,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleTrofeo 1.4 Tjet 160hp 2d,2017,19105,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 ConvertibleTrofeo 1.4 Tjet 160hp 2d,2017,19355,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp 2d,2017,20105,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp 2d,2017,20355,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp MTA auto 2d,2017,21455,151,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp MTA auto 2d,2017,21705,151,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d,2017,14425,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) 3d Auto,2017,15725,134,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (140bhp) Trofeo 3d,2017,14965,139,Petrol,1368,140.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d,2017,19705,139,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 T-Jet (180bhp) Competizione 3d Auto,2017,21005,134,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp 3d,2017,14905,151,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp 3d,2017,15255,151,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp MTA auto 3d,2017,16255,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp MTA auto 3d,2017,16605,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp 3d,2017,20105,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp 3d,2017,20455,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp MTA auto 3d,2017,21455,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp MTA auto 3d,2017,21805,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackTrofeo 1.4 Tjet 160hp 3d,2017,17105,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 HatchbackTrofeo 1.4 Tjet 160hp 3d,2017,17355,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp 3d,2017,18105,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp 3d,2017,18355,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp MTA auto 3d,2017,19455,149,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp MTA auto 3d,2017,19705,149,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp 2d,2018,17255,152,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Convertible1.4 Tjet 145hp MTA auto 2d,2018,18605,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp 2d,2018,22455,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleCompetizione 1.4 Tjet 180hp MTA auto 2d,2018,23805,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 ConvertibleTrofeo 1.4 Tjet 160hp 2d,2018,19355,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 ConvertibleTrofeo 1.4 Tjet 160hp 2d,2018,19405,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp 2d,2018,20355,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 ConvertibleTurismo 1.4 Tjet 165hp MTA auto 2d,2018,21705,151,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp 3d,2018,15255,151,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 Hatchback1.4 Tjet 145hp MTA auto 3d,2018,16605,134,Petrol,1368,145.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp 3d,2018,20455,155,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackCompetizione 1.4 Tjet 180hp MTA auto 3d,2018,21805,153,Petrol,1368,180.0,bhp
2_4,Abarth,595,595 HatchbackTrofeo 1.4 Tjet 160hp 3d,2018,17355,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 HatchbackTrofeo 1.4 Tjet 160hp 3d,2018,17405,158,Petrol,1368,160.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp 3d,2018,18355,155,Petrol,1368,165.0,bhp
2_4,Abarth,595,595 HatchbackTurismo 1.4 Tjet 165hp MTA auto 3d,2018,19705,149,Petrol,1368,165.0,bhp
2_6,Abarth,695,695 ConvertibleXSR Yamaha 1.4 Tjet 165hp 2d,2016,22105,139,Petrol,1368,165.0,bhp
2_6,Abarth,695,695XSR Yamaha 1.4 Tjet 165hp 3d,2016,20105,139,Petrol,1368,165.0,bhp
2_6,Abarth,695,695 ConvertibleRivale 1.4 TJet 180hp 2d,2017,24605,155,Petrol,1368,180.0,bhp
2_6,Abarth,695,695 ConvertibleRivale 1.4 TJet 180hp Anniversary 2d,2017,26440,139,Petrol,1368,180.0,bhp
2_6,Abarth,695,695 ConvertibleRivale 1.4 TJet 180hp MTA Anniversary auto 2d,2017,27790,134,Petrol,1368,180.0,bhp
2_6,Abarth,695,695 ConvertibleRivale 1.4 TJet 180hp MTA auto 2d,2017,25955,153,Petrol,1368,180.0,bhp
2_6,Abarth,695,695 ConvertibleXSR Yamaha 1.4 Tjet 165hp 2d,2017,22105,139,Petrol,1368,165.0,bhp
2_6,Abarth,695,695Rivale 1.4 TJet 180hp 3d,2017,22605,158,Petrol,1368,180.0,bhp
2_6,Abarth,695,695Rivale 1.4 TJet 180hp Anniversary 3d,2017,24440,139,Petrol,1368,180.0,bhp
2_6,Abarth,695,695Rivale 1.4 TJet 180hp MTA Anniversary auto 3d,2017,25790,134,Petrol,1368,180.0,bhp
2_6,Abarth,695,695Rivale 1.4 TJet 180hp MTA auto 3d,2017,23955,156,Petrol,1368,180.0,bhp
2_6,Abarth,695,695XSR Yamaha 1.4 Tjet 165hp 3d,2017,20105,139,Petrol,1368,165.0,bhp
